date,precipitation,pressure,humidity,windspeed,temperature
2021/7/9,0,1008.3,71,5.1,25
2021/7/10,0,1007.4,75,6.3,24.4
2021/7/11,0,1007.3,75,4,26.2
2021/7/12,0,1008.7,77,2.8,27.4
2021/7/13,0,1012.1,72,3.6,29.3
2021/7/14,0,1014.4,70,3.8,29.7
2021/7/15,0,1016.1,73,2.6,29.9
2021/7/16,0,1015.4,71,2.3,32.3
2021/7/17,0,1011.9,69,2,32.4
2021/7/18,0,1009.8,66,2,34.3
2021/7/19,0,1010.9,65,2.1,35
2021/7/20,0,1012.4,80,3.9,29.9
2021/7/21,0,1012.5,78,2,31.2
2021/7/22,0,1010.2,75,2.8,30.6
2021/7/23,0,1008.6,72,3.1,30.3
2021/7/24,0,1008.8,71,2.8,32.1
2021/7/25,0,1008.4,68,4.6,32.5
2021/7/26,0,1006.5,61,4,31.4
2021/7/27,0,1002.3,70,2.7,31.8
2021/7/28,0,1001.8,66,5.3,35.1
2021/7/29,0.5,1001.2,81,6.2,30.2
2021/7/30,0,1001.2,74,4.9,31
2021/7/31,0,1002.4,70,3.1,34.7
2021/8/1,0,1001.3,69,1.9,32.6
2021/8/2,0,1004.1,75,4.2,31.3
2021/8/3,0,1007,73,2.6,34.4
2021/8/4,7.5,1006.1,82,1.6,33.1
2021/8/5,0,1003.5,75,1.9,33.4
2021/8/6,0,1003.4,71,2.4,35
2021/8/7,0,1003.5,73,5.4,31.9
2021/8/8,0,1003.1,73,6.1,29.7
2021/8/9,10.5,1002.6,84,2.7,26.4
2021/8/10,52.5,1000.1,87,2.5,18.4
2021/8/11,3,1011.1,67,2,23.4
2021/8/12,0,1013.5,71,4.1,23.3
2021/8/13,0,1013,67,4.5,23.9
2021/8/14,0,1011.3,61,3.1,23
2021/8/15,0,1013.1,72,1.5,23.1
2021/8/16,0.5,1015.8,71,4.3,22.6
2021/8/17,0,1015.1,74,4.8,24.2
2021/8/18,22.5,1009.9,93,2.5,18.9
2021/8/19,0,1011.4,84,3.4,23.7
2021/8/20,0,1015.3,63,1.7,30.3
2021/8/21,0,1013.6,60,4.5,28.9
2021/8/22,0.5,1009.3,73,6.4,25.6
2021/8/23,5.5,1006.9,77,4.5,28
2021/8/24,0,1008.7,76,5,26.2
2021/8/25,5,1005.4,91,4.7,22
2021/8/26,0,1004.4,83,3.9,28.4
2021/8/27,0.5,1006.3,77,2,26.5
2021/8/28,0,1002.9,63,3.1,30.1
2021/8/29,0,1005.2,56,2.5,30.3
2021/8/30,0.5,1005.4,56,3.4,30.3
2021/8/31,0,1007.3,59,4.7,24.8
2021/9/1,0,1008.8,65,3,25.5
2021/9/2,0,1009,67,2.2,24.6
2021/9/3,0,1011.4,69,1.7,26.6
2021/9/4,30,1015.9,75,2.3,26.3
2021/9/5,0,1018.6,77,1.9,25.6
2021/9/6,0,1017.7,71,2.1,24.8
2021/9/7,0,1015.5,67,1.9,25.6
2021/9/8,0,1012,77,4.7,19.9
2021/9/9,1.5,1009.1,89,1.9,22.5
2021/9/10,0,1011,77,2.6,25.6
2021/9/11,0,1008.3,73,4.5,26.7
2021/9/12,13,1002.4,78,3.4,26.1
2021/9/13,1,1009.9,68,6.2,20.6
2021/9/14,0,1017.7,62,1.9,21.2
2021/9/15,0,1017.6,61,2.3,21.5
2021/9/16,0,1017.2,68,3.3,21.6
2021/9/17,0,1013.5,74,5.1,21.9
2021/9/18,0,1008.7,79,2.6,21.1
2021/9/19,0,1011.3,69,4.1,22.9
2021/9/20,0,1015.1,59,2.8,21
2021/9/21,0,1011.9,74,4.3,22.9
2021/9/22,1.5,1004.6,84,5.2,23.6
2021/9/23,0.5,1005.9,83,1.9,26.2
2021/9/24,4,1017.5,69,4,19.5
2021/9/25,0,1024.8,66,2,20.3
2021/9/26,0,1021.8,71,3.3,21.5
2021/9/27,0,1018.7,72,3.7,22.2
2021/9/28,0,1016.3,78,3.8,21.3
2021/9/29,2.5,1012.3,77,5.7,21.8
2021/9/30,19,1001.9,92,4.4,21.4
2021/10/1,0,1005.4,80,1.7,24.1
2021/10/2,14,1004.1,82,3.7,20.8
2021/10/3,0,1015.4,52,3.7,21.7
2021/10/4,0,1013.2,72,3.8,27.3
2021/10/5,3.5,1017,77,1.7,17.1
2021/10/6,5.5,1016.7,67,3.1,17.6
2021/10/7,0,1017.9,60,2.6,17.9
2021/10/8,0,1017.8,68,3.1,19.6
2021/10/9,0,1024.7,64,1.8,21
2021/10/10,0.5,1013.4,76,5.7,23.5
2021/10/11,13.5,1010.7,74,2.9,23.7
2021/10/12,0,1024.7,70,1.4,19.3
2021/10/13,0,1024.9,70,2.1,18.8
2021/10/14,0,1014.9,71,2.8,21.3
2021/10/15,2.5,1011.2,72,4,17.7
2021/10/16,3,1011,74,4.6,16.3
2021/10/17,0.5,1010.2,60,5.1,9.4
2021/10/18,0,1020.2,59,2.6,11.3
2021/10/19,6,1013,76,3.8,15.9
2021/10/20,26.5,1002.6,92,2,9.9
2021/10/21,35,1009.1,87,4.1,9.8
2021/10/22,0.5,1013.8,81,1.8,10.6
2021/10/23,11,1014.6,79,2.8,10.8
2021/10/24,0,1018.1,70,1.6,18.3
2021/10/25,0,1020.6,73,1.7,17.7
2021/10/26,0.5,1015.6,83,2,16.8
2021/10/27,0,1009.6,75,2.4,17.1
2021/10/28,10,1009,78,3.5,14.2
2021/10/29,17.5,1018.5,69,6.6,11.6
2021/10/30,0,1022,70,1.7,13.9
2021/10/31,0.5,1020.2,76,1.5,15
2021/11/1,0,1020.6,77,2.2,14.4
2021/11/2,12.5,1017.7,86,1.7,10.1
2021/11/3,3.5,1012.3,83,1.6,12.8
2021/11/4,0,1011.5,78,2.5,15.2
2021/11/5,0,1016.3,74,2.9,14.1
2021/11/6,1,1019.4,73,1.7,13.3
2021/11/7,1,1020.8,88,1.7,10.5
2021/11/8,1,1020.7,83,3.9,15.2
2021/11/9,58,1006.4,89,5.7,15.3
2021/11/10,20,991.7,79,5.4,14
2021/11/11,4.5,994.7,59,4.1,10.9
2021/11/12,0,1001.2,59,2.9,12.4
2021/11/13,0,1008.3,64,1.9,10.5
2021/11/14,0,1008.9,75,3.2,13.1
2021/11/15,2,1010.6,66,2.8,9.6
2021/11/16,0,1014,55,2.9,6.9
2021/11/17,0,1016.2,57,3.2,9
2021/11/18,0,1011.7,72,4,12.3
2021/11/19,7,1006.7,73,4.3,14
2021/11/20,0.5,1016.9,56,3.7,7.6
2021/11/21,0,1018.9,69,1.2,6.6
2021/11/22,14,1002.7,81,6.3,13.6
2021/11/23,0,993.8,59,4.6,10.4
2021/11/24,0.5,996.4,60,3,3.5
2021/11/25,0,1001.8,75,1.5,3.3
2021/11/26,0,1005.8,61,3.2,5.9
2021/11/27,25,1014.4,85,4.6,4.7
2021/11/28,2.5,1023.5,77,2.1,7.9
2021/11/29,0,1018.3,72,2.9,11.8
2021/11/30,0.5,1013,76,4,11.5
2021/12/1,12,988.4,67,6.5,14.6
2021/12/2,8.5,1001.1,80,2.5,1.2
2021/12/3,3,1003.9,82,5.1,9.7
2021/12/4,0.5,1008.5,66,3.4,4.2
2021/12/5,0,1022.3,61,2.4,1.5
2021/12/6,0,1024,75,3.7,8.2
2021/12/7,0,1023.1,74,2.8,9
2021/12/8,0,1025.3,72,2.4,6.2
2021/12/9,0,1028.4,67,1.5,7.9
2021/12/10,0,1022.7,75,1.8,9.3
2021/12/11,0,1015.7,78,2.4,9.3
2021/12/12,4,1004.4,78,3.2,8.1
2021/12/13,4,1000.7,65,5.7,1
2021/12/14,0,1011.1,65,2.2,4.5
2021/12/15,0,1009.6,74,2.8,4.6
2021/12/16,0,1011.8,60,1.7,3.5
2021/12/17,40.5,997,93,3.9,0.6
2021/12/18,11.5,1001.7,69,5.9,-4
2021/12/19,0,1005.6,72,1.6,-1.1
